V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
1.176562552,0.32379764,0.536927047,1.047001681,-0.368652161,-0.728586366,0.08467781,-0.069246474,-0.266388693,0.155314912,1.535775838,1.019946692,-0.096511345,0.573022992,0.215214156,0.265249486,-0.612064364,0.093821306,-0.064889988,-0.137257513,-0.109627289,-0.341365351,0.057845053,0.49917979,0.415211212,-0.581948633,0.015472135,0.018065039,4.67,0
0.681109486,-3.934776315,-3.80182745,-1.147467783,-0.735540319,-0.501096847,1.038865065,-0.626979162,-2.274422823,1.527782384,-0.007687515,-1.087402783,-0.720269887,0.855184607,-1.070011133,-0.869661104,0.3953021,0.635694662,0.249401173,1.341809181,0.652201802,0.272683942,-0.982150593,0.165900439,0.3602509,0.195320744,-0.256272932,0.056500904,912,0
1.140728675,0.453483633,0.247010003,2.383132442,0.343287073,0.432803524,0.093380071,0.173309816,-0.808999334,0.775435675,0.726217545,0.347647517,-0.806752202,0.531267896,-0.806537635,0.154996009,-0.319935347,-0.335549866,-0.648994069,-0.232184541,-0.003801756,0.058555586,-0.121176859,-0.304214859,0.645892936,0.122599889,-0.012114819,-0.005945025,1,0
-1.10707329,-3.298902347,-0.184091889,-1.795743863,2.137563664,-1.684992177,-2.015605564,-0.007180948,-0.165759744,0.869659338,-1.02784664,-3.220699223,3.00700838,0.794678681,-1.504350855,-0.380985142,0.667344424,0.676137653,-0.419468583,0.348269258,0.130647547,0.329445036,0.927655962,-0.049560206,-1.892865861,-0.57543113,0.266573085,0.414183761,62.1,0
-0.314818211,0.866839148,-0.124576641,-0.627637706,2.651761692,3.428127778,0.194636637,0.670674188,-0.442658415,0.133498511,0.148565758,-0.474103184,-0.011319031,-0.410223305,1.648979146,0.218394463,-0.23947529,0.422932646,1.274986074,0.402328834,-0.312773897,-0.799494296,-0.064488433,0.953062238,-0.429550128,0.158225104,0.076942736,-0.015051257,2.67,0
-0.713265523,0.869131766,0.330114128,0.902275412,0.520835943,-0.537035841,0.301954527,0.209116653,-0.732440803,-0.266401999,-1.160142025,0.489390243,1.554276412,0.271329791,0.936913349,0.041773913,-0.437476955,0.240087373,0.694507997,-0.125640241,0.114404885,0.412488645,0.223179872,-0.430522459,0.109774317,-0.274568845,-0.108067256,-0.075317584,4.95,0
1.219060149,-0.207707606,0.782809351,0.271654614,-0.456657596,0.414200925,-0.675132897,0.057713766,0.6019703,-0.178378038,-1.382821812,0.56097107,2.150121441,-0.622941655,1.536766447,1.189965636,-1.282399046,0.665347564,-0.081185099,0.166220904,0.170371574,0.541009619,-0.257175323,-0.904533656,0.414090144,0.653565289,0.014583129,0.02731983,47.65,0
0.683918184,0.329216164,-1.693025311,-1.12364422,2.662176668,3.563731079,-0.309290991,-0.043369264,0.050626971,-0.361619466,0.003231297,0.183031248,-0.228960803,0.839124415,1.403642124,-0.609357547,-0.370477638,0.076885892,0.130976462,-0.193571022,1.072188271,0.671990447,-0.208488446,0.735028518,0.633443669,-0.28123128,0.299686125,0.293388772,1,0
-1.127820073,1.461341771,0.526672871,-0.158997947,0.353157757,-1.539196094,0.727382703,0.299275036,-0.778767731,-1.662588027,-0.435397848,-1.140079884,-1.722299427,-0.809024447,0.541667596,0.882181262,1.094392362,0.594783783,-0.823986084,-0.229830654,-0.068002069,-0.494913587,-0.343488599,0.222014327,0.541270693,0.295158111,-0.145161305,-0.002591874,0.76,0
-1.757793892,0.821893615,2.52948162,-0.328198228,-0.902061764,0.739803196,-0.119755145,-0.797691095,0.739507722,3.458517458,1.49440354,-0.788336269,-1.258815318,-1.21665529,1.476863317,-1.725000489,-0.589340723,2.141596319,-0.883309898,-0.165371728,0.028490623,0.778324502,-0.073034162,0.135779782,-0.955392733,-0.503613066,-1.834280779,-0.585528283,10,0
0.349277047,-2.539492948,0.645773478,-0.503734101,-1.792852076,0.986512338,-0.927262114,0.219742969,4.583701731,-1.996804093,-1.722630337,-2.486683257,0.51597243,0.509013078,-1.170125261,-0.56060939,0.889733392,1.009332073,1.346825405,0.793371543,0.105307738,0.028927103,-0.741056715,-0.96575633,0.491040799,0.314924699,-0.031749364,0.089021821,488.99,0
-0.411809717,1.023427362,1.264102713,0.025506432,0.233213482,-0.549449215,0.582704104,0.08471317,-0.353954735,-0.54280485,-0.036534699,-0.134240246,-0.171578738,-0.345348943,1.176918826,0.101378077,0.303302254,-0.553764195,-0.447086899,0.072950252,-0.236514254,-0.59936885,0.023123883,0.015391248,-0.241294139,0.102528579,0.259283124,0.095053688,1.98,0
-1.166635602,1.38904743,1.814434323,-0.244076968,0.326654742,-0.173678713,0.946169353,-0.443604683,1.952917952,1.338141614,2.86512079,-2.417244799,0.573795614,1.07986336,-0.100957909,-0.273513921,0.142651038,-0.13821483,-0.435689842,0.683068517,-0.577148874,-0.596897833,-0.014434833,0.104882299,-0.243903567,-0.031191178,0.169559563,-0.293329469,8.99,0
-1.156067557,0.260287688,1.156286846,-1.628519218,-0.336503006,-1.49376043,-0.080078774,0.317056601,-1.6076369,-0.124948439,-0.444789245,-0.536859936,0.173637433,0.11974339,0.007935822,1.355981331,0.260224403,-1.827816369,0.204019027,0.230285211,-0.221842737,-1.072045743,-0.000835708,0.329366787,0.371847308,-0.706482149,0.069710145,-0.107622091,8,0
-1.190037572,0.649469005,2.284448834,-1.859696552,-0.670685455,-0.496543301,0.064522835,0.316738213,1.074358367,-1.833037048,-0.094819711,0.985746235,0.366893636,-0.294185357,0.841227214,-0.674102784,0.054449703,-0.347858943,-0.441096922,-0.175013023,0.102518158,0.48502269,-0.300319701,0.430586955,0.393432854,-0.806810312,-0.289005608,-0.219989154,1,0
